,ticker,exchange,icb2,industry_name,industry_perform,fullname_industry,signal,marketcap_group
0,TVB,HSX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,,small
1,POW,HSX,DV hạ tầng,dv_hatang,hsD,DV hạ tầng,,mid
2,TTF,HSX,Hàng tiêu dùng,htd,hsC,Hàng tiêu dùng,,small
3,TIG,HNX,Bất động sản,bds,hsA,Bất động sản,x,small
4,LDG,HSX,Bất động sản,bds,hsA,Bất động sản,,penny
5,CCL,HSX,Bất động sản,bds_kcn,hsC,BĐS KCN,,penny
6,GIL,HSX,Hàng tiêu dùng,det_may,hsB,Dệt may,,small
7,VHC,HSX,Thực phẩm,thuy_san,hsB,Thuỷ sản,x,mid
8,GDA,UPCOM,Tài nguyên cơ bản,thep,hsA,Thép,x,small
9,NED,UPCOM,DV hạ tầng,dv_hatang,hsD,DV hạ tầng,,penny
10,DRC,HSX,Linh kiện ôtô,hoa_chat,hsB,Hoá chất,,small
11,HCM,HSX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,x,mid
12,HAR,HSX,Bất động sản,bds,hsA,Bất động sản,,penny
13,VRE,HSX,Bất động sản,bds,hsA,Bất động sản,,mid
14,SHB,HSX,Ngân hàng,ngan_hang,hsC,Ngân hàng,x,mid
15,IDJ,HNX,Bất động sản,bds,hsA,Bất động sản,,small
16,AAS,UPCOM,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,,small
17,CRC,HSX,Xây dựng,xd,hsA,Xây dựng,,penny
18,PVD,HSX,Dầu khí,dau_khi,hsB,Dầu khí,x,mid
19,SGT,HSX,Công nghệ,cong_nghe,hsC,Công nghệ,,small
20,VDS,HSX,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,x,small
21,MBG,HNX,Hàng tiêu dùng,htd,hsC,Hàng tiêu dùng,,penny
22,TCB,HSX,Ngân hàng,ngan_hang,hsC,Ngân hàng,x,large
23,VPH,HSX,Bất động sản,bds,hsA,Bất động sản,x,small
24,SGR,HSX,Bất động sản,bds,hsA,Bất động sản,,small
25,D2D,HSX,Bất động sản,bds_kcn,hsC,BĐS KCN,,small
26,STB,HSX,Ngân hàng,ngan_hang,hsC,Ngân hàng,x,large
27,FIT,HSX,Bất động sản,bds,hsA,Bất động sản,,small
28,KBC,HSX,Bất động sản,bds_kcn,hsC,BĐS KCN,,mid
29,CMS,HNX,Xây dựng,xd,hsA,Xây dựng,,penny
30,VC7,HNX,Xây dựng,xd,hsA,Xây dựng,x,small
31,EVG,HSX,Xây dựng,xd,hsA,Xây dựng,,small
32,NHH,HSX,Hóa chất,hoa_chat,hsB,Hoá chất,,small
33,GVR,HSX,Hóa chất,hoa_chat,hsB,Hoá chất,x,large
34,BCC,HNX,Xây dựng,xd,hsA,Xây dựng,,small
35,VLB,UPCOM,Xây dựng,xd,hsA,Xây dựng,,small
36,SZC,HSX,Bất động sản,bds_kcn,hsC,BĐS KCN,,mid
37,TCM,HSX,Hàng tiêu dùng,det_may,hsB,Dệt may,,small
38,PLX,HSX,Dầu khí,dau_khi,hsB,Dầu khí,,mid
39,SCS,HSX,Công nghiệp,van_tai,hsC,Vận tải,,mid
40,MWG,HSX,Bán lẻ,ban_le,hsA,Bán lẻ,x,large
41,SSH,UPCOM,Bất động sản,bds,hsA,Bất động sản,,mid
42,TV2,HSX,Công nghiệp,xd,hsA,Xây dựng,x,small
43,ABB,UPCOM,Ngân hàng,ngan_hang,hsC,Ngân hàng,,small
44,CII,HSX,Xây dựng,xd,hsA,Xây dựng,x,small
45,LHG,HSX,Bất động sản,bds_kcn,hsC,BĐS KCN,,small
46,DPM,HSX,Hóa chất,hoa_chat,hsB,Hoá chất,x,mid
47,MSR,UPCOM,Tài nguyên cơ bản,khoang_san,hsB,Khoáng sản,,mid
48,PVS,HNX,Dầu khí,dau_khi,hsB,Dầu khí,x,mid
49,ACV,UPCOM,Công nghiệp,dulich_dv,hsD,Du lịch và DV,x,large
50,NRC,HNX,Bất động sản,bds,hsA,Bất động sản,,penny
51,LIG,HNX,Xây dựng,xd,hsA,Xây dựng,,penny
52,GMD,HSX,Công nghiệp,van_tai,hsC,Vận tải,x,mid
53,CTF,HSX,Linh kiện ôtô,htd,hsC,Hàng tiêu dùng,,small
54,NT2,HSX,DV hạ tầng,dv_hatang,hsD,DV hạ tầng,,small
55,JVC,HSX,Y tế,y_te,hsD,Y tế,,penny
56,EIB,HSX,Ngân hàng,ngan_hang,hsC,Ngân hàng,x,mid
57,PAN,HSX,Thực phẩm,thuc_pham,hsC,Thực phẩm,,small
58,VC3,HNX,Bất động sản,bds,hsA,Bất động sản,,small
59,SMC,HSX,Tài nguyên cơ bản,thep,hsA,Thép,,small
60,TLH,HSX,Tài nguyên cơ bản,thep,hsA,Thép,,penny
61,BMS,UPCOM,Dịch vụ tài chính,chung_khoan,hsA,Chứng khoán,,small
62,SAB,HSX,Thực phẩm,thuc_pham,hsC,Thực phẩm,x,large
63,DCM,HSX,Hóa chất,hoa_chat,hsB,Hoá chất,x,mid
64,DIG,HSX,Bất động sản,bds,hsA,Bất động sản,x,mid
65,DL1,HNX,Công nghiệp,van_tai,hsC,Vận tải,x,penny
66,SJD,HSX,DV hạ tầng,dv_hatang,hsD,DV hạ tầng,,small
67,GEG,HSX,DV hạ tầng,dv_hatang,hsD,DV hạ tầng,,small
68,BFC,HSX,Hóa chất,hoa_chat,hsB,Hoá chất,x,small
69,G36,UPCOM,Xây dựng,xd,hsA,Xây dựng,,small
